Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,eimeria_identification,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,replicate,Sample_ID,dna_quantification,eimeria_qpcr
SRR9279877,AMPLICON,501,672879,PRJNA548431,SAMN12027089,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",553443,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria vermiformis,Gastrointestinal tract,Ileum,Tissue,SRX6049810,Germany,Europe,Germany:Brandenburg,Apodemus flavicollis,Illumina MiSeq,51.96021 N 14.01867 E,ZZ-0029-IL_S251,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,ZZ_0029_IL,SRP201188,,,,
SRR9279878,AMPLICON,501,14413045,PRJNA548431,SAMN12027086,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",10472109,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049809,Germany,Europe,Germany:Brandenburg,Apodemus flavicollis,Illumina MiSeq,52.838835 N 13.731648 E,ZZ-0021-CE_S250,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,ZZ_0021_CE,SRP201188,,,,
SRR9279879,AMPLICON,501,15890270,PRJNA548431,SAMN12027045,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",11722318,HUMBOLDT UNIVERSITY BERLIN,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049808,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.2678 N 13.84 E,AA-0079-CE_S218,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0079_CE,SRP201188,,,452,2.9
SRR9279880,AMPLICON,501,8455635,PRJNA548431,SAMN12027065,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",6047985,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Colon,Content,SRX6049807,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,53.0497 N 13.4408 E,AA-0347_S217,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0347,SRP201188,,,140,
SRR9279881,AMPLICON,500,547016,PRJNA548431,SAMN12027070,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",462036,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049806,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.0172 N 14.1442 E,AA-0397-CE_S216,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0397_CE,SRP201188,,,,-2.36
SRR9279882,AMPLICON,501,16883898,PRJNA548431,SAMN12027043,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",12486226,HUMBOLDT UNIVERSITY BERLIN,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria vermiformis,Gastrointestinal tract,Ileum,Tissue,SRX6049805,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.5028 N 13.9289 E,AA-0054-IL_S215,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0054_IL,SRP201188,,,430,-1.55
SRR9279883,AMPLICON,500,11391494,PRJNA548431,SAMN12027071,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",8183396,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Colon,Content,SRX6049804,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.0172 N 14.1442 E,AA-0408_S214,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0408,SRP201188,,,70,
SRR9279884,AMPLICON,501,1066218,PRJNA548431,SAMN12027077,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",824770,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049803,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,53.94049 N 11.6069 E,AA-0498-CE_S234,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0498_CE,SRP201188,,,,-11.59
SRR9279885,AMPLICON,501,10385742,PRJNA548431,SAMN12027076,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",7489671,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Colon,Content,SRX6049802,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,53.94049 N 11.6069 E,AA-0498_S212,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0498,SRP201188,,,64,
SRR9279886,AMPLICON,501,17591323,PRJNA548431,SAMN12027063,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",12561425,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Colon,Content,SRX6049801,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,53.0497 N 13.4408 E,AA-0345_S211,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0345,SRP201188,,,272,
SRR9279887,AMPLICON,501,8621462,PRJNA548431,SAMN12027048,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",6178038,HUMBOLDT UNIVERSITY BERLIN,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049800,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.2678 N 13.84 E,AA-0088-CE_S220,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0088_CE,SRP201188,,,121,-2.34
SRR9279888,AMPLICON,501,22163069,PRJNA548431,SAMN12027052,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",15872225,HUMBOLDT UNIVERSITY BERLIN,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria vermiformis,Gastrointestinal tract,Cecum,Tissue,SRX6049799,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,53.1164 N 13.7731 E,AA-0140-CE_S219,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0140_CE,SRP201188,,,,4.39
SRR9279889,AMPLICON,501,16736353,PRJNA548431,SAMN12027080,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",11943086,HUMBOLDT UNIVERSITY BERLIN,2015,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Colon,Content,SRX6049798,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,48.83361111 N 12.145 E,SK-3019_S254,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,SK_3019,SRP201188,,,,
SRR9279890,AMPLICON,501,2486064,PRJNA548431,SAMN12027056,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",1823859,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049797,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.2225 N 13.6025 E,AA-0249-CE_S255,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0249_CE,SRP201188,,,,-8.76
SRR9279891,AMPLICON,501,13126559,PRJNA548431,SAMN12027044,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",9765300,HUMBOLDT UNIVERSITY BERLIN,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049796,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.4164 N 13.4642 E,AA-0069-CE_S252,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0069_CE,SRP201188,,,314,-3.84
SRR9279892,AMPLICON,501,592381,PRJNA548431,SAMN12027067,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",492881,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria vermiformis,Gastrointestinal tract,Ileum,Tissue,SRX6049795,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,53.0497 N 13.4408 E,AA-0349-IL_S253,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0349_IL,SRP201188,,,,-11.8
SRR9279893,AMPLICON,501,20592039,PRJNA548431,SAMN12027054,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",14986153,HUMBOLDT UNIVERSITY BERLIN,2016,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria vermiformis,Gastrointestinal tract,Ileum,Tissue,SRX6049794,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,53.2397 N 13.1633 E,AA-0204-IL_S258,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0204_IL,SRP201188,,,523,3.31
SRR9279894,AMPLICON,501,10834126,PRJNA548431,SAMN12027066,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",7940807,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria vermiformis,Gastrointestinal tract,Colon,Content,SRX6049793,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,53.0497 N 13.4408 E,AA-0349_S213,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0349,SRP201188,,,,
SRR9279895,AMPLICON,501,11655361,PRJNA548431,SAMN12027057,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",8452305,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Colon,Content,SRX6049792,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.7383 N 14.0953 E,AA-0310_S256,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0310,SRP201188,,,40,
SRR9279896,AMPLICON,501,11223541,PRJNA548431,SAMN12027060,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",8053265,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049791,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,53.0497 N 13.4408 E,AA-0328-CE_S257,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0328_CE,SRP201188,,,,-7.13
SRR9279897,AMPLICON,501,16544,PRJNA548431,SAMN12027069,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",93328,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049790,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,53.1275 N 13.4864 E,AA-0366-CE_S231,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0366_CE,SRP201188,,,,-11.76
SRR9279898,AMPLICON,500,59592,PRJNA548431,SAMN12027058,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",122657,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Cecum,Tissue,SRX6049789,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.7383 N 14.0953 E,AA-0310-CE_S232,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0310_CE,SRP201188,,,,-9.21
SRR9279899,AMPLICON,501,8041158,PRJNA548431,SAMN12027074,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",5920551,HUMBOLDT UNIVERSITY BERLIN,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Eimeria falciformis,Gastrointestinal tract,Colon,Content,SRX6049788,Germany,Europe,Germany:Brandenburg,Mus musculus,Illumina MiSeq,52.9936 N 13.3047 E,AA-0467_S233,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2019-07-02T00:00:00Z,2019-06-12T15:01:00Z,1,AA_0467,SRP201188,,,75,
